Column1,Column5,Column9
묽,Adjective,*
묽디묽,Adjective,*
뭇,Adjective,*
뭉텅하,Adjective,*
뭉툭뭉툭하,Adjective,*
뭉툭하,Adjective,*
뭔,Adjective,*
뭣하,Adjective,*
믄,Adjective,*
미끄럽,Adjective,*
미덥,Adjective,*
미련맞,Adjective,*
미쁘,Adjective,*
미심스럽,Adjective,*
미심쩍,Adjective,*
미씸쩍,Adjective,*
미안스럽,Adjective,*
미안쩍,Adjective,*
미욱스럽,Adjective,*
미웁,Adjective,*
미츨하,Adjective,*
미치,Adjective,*
미혹스럽,Adjective,*
민망스럽,Adjective,*
민하,Adjective,*
믿,Adjective,*
믿음성스럽,Adjective,*
믿음직스럽,Adjective,*
밉,Adjective,*
밉광스럽,Adjective,*
밉둥스럽,Adjective,*
밉디밉,Adjective,*
밉살맞,Adjective,*
밉살머리스럽,Adjective,*
밉살스럽,Adjective,*
밉상스럽,Adjective,*
밉쌀스럽,Adjective,*
바르,Adjective,*
바른,Adjective,*
바뿌,Adjective,*
바쁘,Adjective,*
바자위,Adjective,*
바지런스럽,Adjective,*
바트,Adjective,*
박정스럽,Adjective,*
박하,Adjective,*
반,Adjective,*
반감,Adjective,*
반갑,Adjective,*
반드럽,Adjective,*
반지랍,Adjective,*
반편스럽,Adjective,*
반하,Adjective,*
받,Adjective,*
발갛,Adjective,*
발악스럽,Adjective,*
발칙스럽,Adjective,*
밝,Adjective,*
밤늦,Adjective,*
방자스럽,Adjective,*
방정맞,Adjective,*
방정스럽,Adjective,*
밭,Adjective,*
배,Adjective,*
배고프,Adjective,*
배다르,Adjective,*
배뚤,Adjective,*
배라먹을,Adjective,*
배리,Adjective,*
배부르,Adjective,*
배불르,Adjective,*
백,Adjective,*
백대,Adjective,*
백여,Adjective,*
밸라,Adjective,*
뱅충맞,Adjective,*
버겁,Adjective,*
버릇없,Adjective,*
버성기,Adjective,*
버얼겋,Adjective,*
벅차,Adjective,*
번거럽,Adjective,*
번거롭,Adjective,*
번다스럽,Adjective,*
번드럽,Adjective,*
