Column1,Column5,Column9
으르릉,Exclamation,*
으매,Exclamation,*
으미,Exclamation,*
으싸,Exclamation,*
으쌰,Exclamation,*
으씨,Exclamation,*
으아,Exclamation,*
으아아,Exclamation,*
으아아아,Exclamation,*
으아아아아,Exclamation,*
으아아아악,Exclamation,*
으아아악,Exclamation,*
으아악,Exclamation,*
으악,Exclamation,*
으앗,Exclamation,*
으앙,Exclamation,*
으앙앙,Exclamation,*
으앙앙앙,Exclamation,*
으어,Exclamation,*
으엉,Exclamation,*
으에잇,Exclamation,*
으와,Exclamation,*
으웩,Exclamation,*
으유,Exclamation,*
으으,Exclamation,*
으으아아,Exclamation,*
으으으,Exclamation,*
으으으아악,Exclamation,*
으으으으,Exclamation,*
으으으으아아아아아아,Exclamation,*
으으으으아아아아아아아,Exclamation,*
으으으으으,Exclamation,*
으으으으으아아아아아아,Exclamation,*
으으으으으으으,Exclamation,*
으으윽,Exclamation,*
으으음,Exclamation,*
으으응,Exclamation,*
으으헉,Exclamation,*
으으흐흐흐,Exclamation,*
으윽,Exclamation,*
으음,Exclamation,*
으음으음으,Exclamation,*
으읏,Exclamation,*
으응,Exclamation,*
으응응,Exclamation,*
으이,Exclamation,*
으이고,Exclamation,*
으이구,Exclamation,*
으이그,Exclamation,*
으이씨,Exclamation,*
으이휴,Exclamation,*
으잉,Exclamation,*
으째,Exclamation,*
으카카카,Exclamation,*
으크크,Exclamation,*
으하하,Exclamation,*
으하하하,Exclamation,*
으핫핫핫,Exclamation,*
으허허,Exclamation,*
으헉,Exclamation,*
으헤헤,Exclamation,*
으휴,Exclamation,*
으흐,Exclamation,*
으흐으,Exclamation,*
으흐음,Exclamation,*
으흐흐,Exclamation,*
으흐흐흐,Exclamation,*
으흐흐흑,Exclamation,*
으흐흐흠,Exclamation,*
으흐흑,Exclamation,*
으흐흑으,Exclamation,*
으흑,Exclamation,*
으흑으으,Exclamation,*
으흠,Exclamation,*
으흠으흠,Exclamation,*
으흥,Exclamation,*
으히히히히,Exclamation,*
윽,Exclamation,*
윽윽,Exclamation,*
은냐,Exclamation,*
을래,Exclamation,*
을레,Exclamation,*
음,Exclamation,*
음냐,Exclamation,*
음으으음,Exclamation,*
음음,Exclamation,*
음음음,Exclamation,*
음음음음,Exclamation,*
음음음음음,Exclamation,*
읍,Exclamation,*
응,Exclamation,*
응가,Exclamation,*
응야,Exclamation,*
응으흐흐,Exclamation,*
응응,Exclamation,*
응응응,Exclamation,*
이,Exclamation,*
이거,Exclamation,*
이구,Exclamation,*
이그,Exclamation,*
이끼,Exclamation,*
이끼나,Exclamation,*
이라,Exclamation,*
이래,Exclamation,*
이랴,Exclamation,*
이랴이랴,Exclamation,*
이랴이랴이랴,Exclamation,*
이러,Exclamation,*
이러언,Exclamation,*
이런,Exclamation,*
이바라,Exclamation,*
이보,Exclamation,*
이보게,Exclamation,*
이보세요,Exclamation,*
이보쇼,Exclamation,*
이보슈,Exclamation,*
이보시라우야,Exclamation,*
이보시오,Exclamation,*
이보오,Exclamation,*
이봐,Exclamation,*
이봐라,Exclamation,*
이봐요,Exclamation,*
이새꺄,Exclamation,*
이씨,Exclamation,*
이아,Exclamation,*
이애,Exclamation,*
이야,Exclamation,*
이야차,Exclamation,*
이어구,Exclamation,*
이여차,Exclamation,*
이영차,Exclamation,*
이예,Exclamation,*
이웨,Exclamation,*
이잉,Exclamation,*
이제,Exclamation,*
이크,Exclamation,*
이크나,Exclamation,*
이크크,Exclamation,*
이키,Exclamation,*
이휴,Exclamation,*
이히,Exclamation,*
이히히히,Exclamation,*
이히힛,Exclamation,*
익,Exclamation,*
익크크,Exclamation,*
인까,Exclamation,*
인마,Exclamation,*
인자,Exclamation,*
인제,Exclamation,*
임마,Exclamation,*
잉,Exclamation,*
잉잉잉잉,Exclamation,*
자,Exclamation,*
자꾸,Exclamation,*
자라,Exclamation,*
자아,Exclamation,*
자자,Exclamation,*
자자자,Exclamation,*
자장자장,Exclamation,*
장군,Exclamation,*
저,Exclamation,*
저거,Exclamation,*
저게,Exclamation,*
저그,Exclamation,*
저기,Exclamation,*
저기요,Exclamation,*
저런,Exclamation,*
저어,Exclamation,*
저어기,Exclamation,*
